flag; num; time_ms; ds_temp; lat; lon; alt; fix; crc
6;110;104950;283;56.410938;40.975571;128.500000;1;36971
6;111;105550;283;56.410938;40.975571;128.500000;1;5915
6;112;106213;283;56.410938;40.975571;128.500000;1;48942
6;113;106815;283;56.410938;40.975571;128.500000;1;13187
6;114;107493;283;56.410938;40.975571;128.500000;1;62010
6;115;108095;283;56.410938;40.975571;128.500000;1;30875
6;116;108780;283;56.410938;40.975571;128.600006;1;6532
6;117;109345;283;56.410938;40.975571;128.600006;1;39299
6;118;110033;283;56.410938;40.975571;128.600006;1;62470
6;119;110624;283;56.410938;40.975571;128.600006;1;65459
6;120;111358;283;56.410938;40.975571;128.600006;1;57048
6;121;111961;283;56.410938;40.975571;128.600006;1;13207
6;122;112616;283;56.410938;40.975571;128.600006;1;45534
6;123;113217;283;56.410938;40.975571;128.600006;1;10627
6;124;113895;283;56.410938;40.975571;128.600006;1;13972
6;125;114508;283;56.410938;40.975571;128.600006;1;62301
6;126;115196;283;56.410938;40.975574;128.600006;1;47455
6;127;115762;283;56.410938;40.975574;128.600006;1;19388
6;128;116447;283;56.410938;40.975574;128.600006;1;59100
6;129;117049;283;56.410938;40.975574;128.699997;1;14442
6;130;117733;283;56.410938;40.975574;128.699997;1;7635
6;131;118301;283;56.410938;40.975574;128.699997;1;23511
6;132;118975;284;56.410938;40.975574;128.699997;1;30680
6;133;119579;284;56.410938;40.975574;128.699997;1;6192
6;134;120254;284;56.410938;40.975574;128.699997;1;4764
6;135;120856;284;56.410938;40.975574;128.699997;1;8416
6;136;121530;284;56.410938;40.975574;128.699997;1;18489
6;137;122123;284;56.410938;40.975574;128.699997;1;28971
6;138;122820;284;56.410938;40.975574;128.699997;1;5839
6;139;123425;284;56.410938;40.975574;128.699997;1;37095
6;140;124087;284;56.410938;40.975574;128.699997;1;57111
6;141;124666;284;56.410938;40.975574;128.699997;1;15848
6;142;125352;285;56.410938;40.975574;128.699997;1;41379
6;143;125984;285;56.410938;40.975574;128.699997;1;30260
6;144;126671;285;56.410938;40.975574;128.699997;1;22378
6;145;127250;285;56.410938;40.975574;128.699997;1;5127
6;146;127918;285;56.410938;40.975574;128.699997;1;36976
6;147;128510;285;56.410938;40.975574;128.699997;1;46155
6;148;129204;285;56.410938;40.975574;128.699997;1;45415
6;149;129793;285;56.410938;40.975574;128.699997;1;12493
6;150;130451;285;56.410938;40.975574;128.699997;1;20633
6;151;131041;285;56.410938;40.975574;128.699997;1;18592
6;152;131726;285;56.410938;40.975574;128.699997;1;24262
6;153;132332;285;56.410938;40.975574;128.699997;1;34309
6;154;133029;285;56.410938;40.975574;128.699997;1;26393
6;155;133609;285;56.410938;40.975574;128.699997;1;23089
6;156;134306;285;56.410938;40.975574;128.699997;1;28781
6;157;134907;285;56.410938;40.975574;128.699997;1;60112
6;158;135590;285;56.410938;40.975574;128.699997;1;32953
6;159;136160;285;56.410938;40.975574;128.699997;1;32888
6;160;136851;286;56.410938;40.975574;128.699997;1;50648
6;161;137455;1566;56.410938;40.975574;128.699997;1;55313
6;162;138144;286;56.410938;40.975574;128.699997;1;44299
6;163;138744;286;56.410938;40.975574;128.699997;1;6414
6;164;139421;286;56.410934;40.975574;128.699997;1;38138
6;165;140011;286;56.410934;40.975574;128.699997;1;50396
6;166;140697;286;56.410934;40.975574;128.699997;1;26558
6;167;141287;286;56.410938;40.975574;128.699997;1;58053
6;168;141958;286;56.410938;40.975574;128.699997;1;43547
6;169;142542;286;56.410938;40.975574;128.699997;1;11843
6;170;143225;286;56.410938;40.975574;128.699997;1;47163
6;171;143823;286;56.410938;40.975574;128.699997;1;18583
6;172;144510;286;56.410938;40.975574;128.699997;1;23984
6;173;145090;286;56.410938;40.975574;128.699997;1;25098
6;174;145764;286;56.410938;40.975574;128.699997;1;7160
6;175;146365;286;56.410938;40.975574;128.699997;1;5004
6;176;147042;286;56.410938;40.975574;128.699997;1;37600
6;177;147660;287;56.410938;40.975574;128.699997;1;25235
6;178;148316;287;56.410938;40.975574;128.699997;1;44622
6;179;148912;287;56.410938;40.975574;128.699997;1;36986
6;180;149595;287;56.410938;40.975574;128.699997;1;47418
6;181;150186;287;56.410934;40.975574;128.699997;1;1193
6;182;150867;287;56.410934;40.975574;128.699997;1;55100
6;183;151447;287;56.410934;40.975574;128.699997;1;59691
6;184;152133;287;56.410934;40.975574;128.699997;1;58148
6;185;152725;287;56.410934;40.975574;128.699997;1;21974
6;186;153408;287;56.410934;40.975574;128.699997;1;52863
6;187;153986;287;56.410934;40.975574;128.699997;1;5536
6;188;154674;287;56.410934;40.975574;128.699997;1;56984
6;189;155275;287;56.410934;40.975574;128.699997;1;30498
6;190;155971;287;56.410934;40.975574;128.800003;1;47717
6;191;156562;288;56.410934;40.975574;128.800003;1;44643
6;192;157228;288;56.410934;40.975574;128.800003;1;17939
6;193;157840;288;56.410934;40.975574;128.800003;1;30817
6;194;159390;288;56.410934;40.975574;128.800003;1;25216
6;195;159980;288;56.410934;40.975574;128.800003;1;35214
6;196;160664;288;56.410934;40.975574;128.800003;1;23024
6;197;161234;288;56.410934;40.975574;128.800003;1;29111
6;198;161918;288;56.410934;40.975574;128.800003;1;50215
6;199;162523;288;56.410934;40.975574;128.800003;1;34273
6;200;163203;288;56.410934;40.975574;128.800003;1;53973
6;201;163800;288;56.410934;40.975574;128.800003;1;58487
6;202;164454;288;56.410934;40.975574;128.800003;1;54789
6;203;165056;288;56.410934;40.975574;128.800003;1;5476
6;204;165739;288;56.410934;40.975574;128.800003;1;3291
6;205;166342;288;56.410934;40.975574;128.800003;1;56555
6;206;167028;288;56.410934;40.975574;128.800003;1;56439
6;207;167607;288;56.410934;40.975574;128.800003;1;55423
6;208;168292;288;56.410934;40.975574;128.800003;1;29409
6;209;168891;288;56.410934;40.975574;128.800003;1;40597
6;210;169588;288;56.410934;40.975574;128.800003;1;2468
6;211;170168;288;56.410934;40.975574;128.899994;1;16187
6;212;170837;288;56.410934;40.975574;128.899994;1;1008
6;213;171428;288;56.410934;40.975574;128.899994;1;2983
6;214;172113;289;56.410934;40.975574;128.899994;1;43235
6;215;172703;289;56.410934;40.975574;128.899994;1;43733
6;216;173358;289;56.410934;40.975574;128.899994;1;32967
6;217;173971;289;56.410934;40.975574;128.899994;1;24930
6;218;174646;289;56.410934;40.975574;128.899994;1;39635
6;219;175251;289;56.410934;40.975574;128.899994;1;11186
6;220;175933;289;56.410934;40.975574;128.899994;1;41997
6;221;176517;289;56.410934;40.975574;128.899994;1;8351
6;222;177206;289;56.410934;40.975574;128.899994;1;65052
6;223;177796;289;56.410934;40.975574;128.899994;1;46488
6;224;178504;290;56.410934;40.975574;128.899994;1;39195
6;225;179083;290;56.410934;40.975574;128.899994;1;40211
6;226;179755;289;56.410934;40.975574;128.899994;1;58088
6;227;180340;290;56.410934;40.975574;128.899994;1;33287
6;228;181041;290;56.410934;40.975574;128.899994;1;56449
6;229;181634;290;56.410934;40.975574;128.899994;1;47549
6;230;182289;290;56.410934;40.975574;128.899994;1;63211
6;231;182884;290;56.410934;40.975574;128.899994;1;54477
6;232;183569;290;56.410934;40.975574;128.899994;1;58749
6;233;184159;290;56.410934;40.975574;128.899994;1;30082
6;234;184844;290;56.410934;40.975574;128.899994;1;39830
6;235;185432;290;56.410934;40.975574;128.899994;1;63410
6;236;186106;290;56.410934;40.975574;128.899994;1;20509
6;237;186697;290;56.410934;40.975574;128.899994;1;13439
6;238;187394;290;56.410934;40.975574;128.899994;1;31128
6;239;187970;290;56.410934;40.975574;128.899994;1;40281
6;240;188679;290;56.410934;40.975574;128.899994;1;33932
6;241;189272;290;56.410934;40.975574;128.899994;1;64049
6;242;189954;290;56.410934;40.975574;128.899994;1;22932
6;243;190547;290;56.410934;40.975574;128.899994;1;21215
6;244;191201;290;56.410934;40.975574;128.899994;1;50477
6;245;191788;290;56.410934;40.975574;128.899994;1;46477
6;246;192486;290;56.410934;40.975574;128.899994;1;17513
6;247;193081;290;56.410934;40.975574;128.899994;1;23384
6;248;193764;290;56.410934;40.975574;128.899994;1;63636
6;249;194345;290;56.410934;40.975574;128.899994;1;30867
6;250;195050;290;56.410934;40.975574;129.000000;1;34436
6;251;195651;290;56.410934;40.975574;129.000000;1;61366
6;252;196341;290;56.410934;40.975574;129.000000;1;12379
6;253;196921;290;56.410938;40.975578;128.899994;1;19700
6;254;197598;930;56.410938;40.975578;128.899994;1;31044
6;255;198202;290;56.410938;40.975578;128.899994;1;30188
6;256;198903;291;56.410938;40.975578;128.899994;1;8881
6;257;199504;291;56.410938;40.975578;128.899994;1;16217
6;258;200160;291;56.410938;40.975578;129.000000;1;54194
6;259;200750;291;56.410942;40.975582;129.000000;1;1607
6;260;201433;291;56.410942;40.975582;129.000000;1;50881
6;261;202024;291;56.410950;40.975590;129.100006;1;1051
6;262;202695;291;56.410954;40.975605;129.100006;1;56009
6;263;203510;291;56.410954;40.975605;129.100006;1;28734
6;264;204178;291;56.410961;40.975620;129.100006;1;36890
6;265;204768;291;56.410965;40.975636;129.199997;1;825
6;266;205456;291;56.410965;40.975636;129.199997;1;2632
6;267;206057;291;56.410973;40.975651;129.199997;1;27840
6;268;206728;291;56.410973;40.975651;129.199997;1;6883
6;269;207321;291;56.410980;40.975662;129.199997;1;57941
6;270;208002;291;56.410988;40.975677;129.199997;1;41017
6;271;208601;291;56.410988;40.975677;129.199997;1;38555
6;272;209282;291;56.410992;40.975693;129.199997;1;59262
6;273;209849;291;56.411003;40.975708;129.199997;1;29134
6;274;210533;291;56.411003;40.975708;129.199997;1;42146
6;275;211140;291;56.411011;40.975719;129.300003;1;22655
6;276;211836;291;56.411018;40.975731;129.399994;1;26601
6;277;212455;291;56.411018;40.975731;129.399994;1;62033
6;278;213111;291;56.411026;40.975746;129.300003;1;37053
6;279;213699;291;56.411026;40.975746;129.300003;1;16185
6;280;214394;291;56.411034;40.975761;129.300003;1;37692
6;281;214989;291;56.411037;40.975777;129.300003;1;60725
6;282;215661;291;56.411037;40.975777;129.300003;1;32900
6;283;216226;291;56.411045;40.975792;129.300003;1;46292
6;284;216913;291;56.411053;40.975807;129.300003;1;62378
6;285;217514;291;56.411053;40.975807;129.300003;1;50252
6;286;218220;291;56.411060;40.975826;129.300003;1;58875
6;287;218794;291;56.411060;40.975826;129.300003;1;30707
6;288;219466;292;56.411064;40.975842;129.300003;1;43319
6;289;220055;291;56.411072;40.975861;129.399994;1;40587
6;290;220738;292;56.411072;40.975861;129.399994;1;32081
6;291;221349;292;56.411079;40.975880;129.300003;1;13152
6;292;222006;292;56.411087;40.975895;129.199997;1;58854
6;293;222606;292;56.411087;40.975895;129.199997;1;25316
6;294;223295;292;56.411091;40.975914;129.199997;1;5599
6;295;223897;292;56.411098;40.975933;129.199997;1;62188
6;296;224571;292;56.411098;40.975933;129.199997;1;39587
6;297;225151;292;56.411106;40.975948;129.199997;1;11939
