flag; num; time_ms; gps_time_s; gps_time_us; crc
8;212;170837;51282;0;46007
8;213;171428;51282;0;5190
8;214;172113;51283;0;10817
8;215;172703;51283;0;38628
8;216;173358;51284;0;4872
8;217;173971;51285;0;26961
8;218;174647;51285;0;1703
8;219;175251;51286;0;36242
8;220;175933;51287;0;5674
8;221;176517;51287;0;33781
8;222;177206;51288;0;43092
8;223;177796;51289;0;49646
8;224;178504;51289;0;60181
8;225;179083;51290;0;35532
8;226;179755;51290;0;19040
8;227;180340;51291;0;26569
8;228;181041;51292;0;31692
8;229;181634;51292;0;1943
8;230;182289;51293;0;32265
8;231;182885;51294;0;58570
8;232;183570;51294;0;56033
8;233;184159;51295;0;36521
8;234;184844;51296;0;3366
8;235;185432;51296;0;24695
8;236;186106;51297;0;13818
8;237;186697;51298;0;64275
8;238;187394;51298;0;15561
8;239;187970;51299;0;32136
8;240;188679;51299;0;34695
8;241;189272;51300;0;25278
8;242;189955;51301;0;54759
8;243;190547;51301;0;6124
8;244;191201;51302;0;64151
8;245;191789;51303;0;36357
8;246;192486;51303;0;51907
8;247;193081;51304;0;17807
8;248;193764;51305;0;15741
8;249;194345;51305;0;23566
8;250;195051;51306;0;15273
8;251;195651;51306;0;5743
8;252;196341;51307;0;31078
8;253;196921;51308;0;29388
8;254;197598;51308;0;20182
8;255;198202;51309;0;61439
8;256;198903;51310;0;61423
8;257;199504;51310;0;8254
8;258;200160;51311;0;59627
8;259;200750;51312;0;28214
8;260;201433;51312;0;39129
8;261;202024;51313;0;41138
8;262;202695;51314;0;20341
8;263;203510;51314;0;17681
8;264;204178;51315;0;3622
8;265;204768;51316;0;37046
8;266;205457;51316;0;19991
8;267;206057;51317;0;7241
8;268;206728;51317;0;42016
8;269;207321;51318;0;44331
8;270;208002;51319;0;6770
8;271;208601;51319;0;13703
8;272;209282;51320;0;39926
8;273;209849;51321;0;16432
8;274;210533;51321;0;4688
8;275;211140;51322;0;13642
8;276;211836;51323;0;37532
8;277;212455;51323;0;39887
8;278;213111;51324;0;56471
8;279;213699;51324;0;63936
8;280;214394;51325;0;59215
8;281;214989;51326;0;4082
8;282;215661;51326;0;28112
8;283;216227;51327;0;51169
8;284;216913;51328;0;29609
8;285;217514;51328;0;16041
8;286;218220;51329;0;264
8;287;218794;51329;0;42501
8;288;219466;51330;0;15447
8;289;220056;51331;0;58893
8;290;220738;51331;0;48979
8;291;221349;51332;0;48669
8;292;222006;51333;0;26972
8;293;222607;51333;0;2117
8;294;223295;51334;0;38210
8;295;223897;51335;0;50812
8;296;224571;51335;0;46663
8;297;225151;51336;0;25795
8;298;225838;51336;0;32440
8;299;226437;51337;0;27080
8;300;227131;51338;0;19078
8;301;227710;51338;0;45436
8;302;228385;51339;0;3057
8;303;228990;51340;0;61128
8;304;229669;51340;0;65150
8;305;230271;51341;0;38189
8;306;230945;51342;0;41843
8;307;231538;51342;0;25831
8;308;232230;51343;0;52236
8;309;233177;51344;0;59367
8;310;233758;51344;0;52192
8;311;234429;51345;0;38527
8;312;235021;51346;0;48952
8;313;235707;51346;0;28492
8;314;236292;51347;0;15732
8;315;236961;51348;0;47705
8;316;237565;51348;0;38528
8;317;238264;51349;0;44308
8;318;238865;51350;0;7587
8;319;239549;51350;0;5132
8;320;240117;51351;0;11687
8;321;240800;51352;0;58043
8;322;241402;51352;0;14585
8;323;242099;51353;0;8152
8;324;242664;51353;0;15178
8;325;243334;51354;0;41510
8;326;243923;51355;0;57245
8;327;244609;51355;0;12540
8;328;245200;51356;0;29720
8;329;245869;51357;0;16096
8;330;246459;51357;0;22655
8;331;247148;51358;0;35372
8;332;247736;51359;0;20527
8;333;248418;51359;0;23869
8;334;248990;51360;0;34329
8;335;249670;51361;0;39240
8;336;250258;51361;0;36848
8;337;250957;51362;0;59064
8;338;251541;51362;0;37041
8;339;252204;51363;0;52412
8;340;252804;51364;0;1208
8;341;253479;51364;0;14153
8;342;254079;51365;0;41148
8;343;254746;51366;0;54803
8;344;255350;51366;0;6422
8;345;256038;51367;0;58420
8;346;256655;51368;0;52282
