flag; num; time_ms; bmp_temp; bmp_press; fhotores; status; crc
32;127;44633;2847;99456;4221;18432;61351
32;128;44864;2847;99456;4275;18432;30106
32;129;45183;2847;99456;4286;18432;62347
32;130;45737;2847;99456;4232;18432;11041
32;131;46052;2848;99455;4330;18432;23465
32;132;46282;2848;99455;4341;18432;19380
32;133;46587;2848;99455;4286;18432;63017
32;134;47145;2849;99456;4330;18432;24004
32;135;47450;2849;99456;4096;18432;41446
32;136;47691;2849;99456;4066;18432;44063
32;137;47996;2850;99457;4046;18432;58374
32;138;48559;2850;99457;4158;18432;17578
32;139;48874;2850;99458;4189;18432;33835
32;140;49104;2850;99457;4158;18432;58685
32;141;49421;2850;99457;3872;18432;43282
32;142;49970;2850;99457;3900;18432;24409
32;143;50285;2851;99457;4046;18432;22064
32;144;50517;2851;99457;4168;18432;27875
32;145;50822;2851;99458;4502;18432;51691
32;146;51383;2851;99458;4420;18432;49317
32;147;51688;2850;99459;4443;18432;48152
32;148;51928;2850;99458;4397;18432;25125
32;149;52233;2849;99458;4352;18432;15162
32;150;52790;2848;99458;4420;18432;21196
32;151;53095;2847;99458;4409;18432;43387
32;152;53326;2847;99458;4420;18432;29105
32;153;53641;2846;99458;4443;18432;12349
32;154;54196;2844;99457;4443;18432;29406
32;155;54511;2843;99457;4420;18432;18625
32;156;54741;2842;99456;4455;18432;42920
32;157;55049;2841;99457;4467;18432;3832
32;158;55607;2839;99457;4610;18432;36309
32;159;55912;2838;99457;4514;18432;16402
32;160;56153;2838;99456;4538;18432;57499
32;161;56458;2838;99457;4550;18432;65462
32;162;57021;2836;99458;4478;18432;54510
32;163;57225;2835;99458;4502;18433;45526
32;164;57236;2835;99458;4478;18433;29496
32;165;57339;2835;99457;4490;18433;27592
32;166;57372;2834;99457;4502;18433;54227
32;167;57475;2834;99458;4490;18433;60915
32;168;57486;2834;99457;4514;18433;33726
32;169;57714;2833;99458;4514;18433;9844
32;170;57746;2833;99458;4514;18433;12087
32;171;57849;2833;99458;4514;18433;22443
32;172;57860;2833;99458;4478;18433;24054
32;173;57963;2832;99458;4502;18433;46755
32;174;57974;2832;99458;4502;18433;62902
32;175;58077;2832;99458;4502;18433;61931
32;176;58108;2832;99458;4502;18433;19797
32;177;58211;2832;99458;4538;18433;53898
32;178;58369;2831;99458;4514;18433;60478
32;179;58474;2831;99458;4514;18433;38050
32;180;58485;2831;99458;4467;18433;32528
32;181;58589;2830;99458;4467;18433;39339
32;182;58600;2830;99458;4562;18433;12504
32;183;58703;2830;99458;4562;18433;26408
32;184;58714;2830;99458;4526;18433;21318
32;185;58817;2829;99458;4526;18433;48620
32;186;58848;2829;99458;4502;18433;6693
32;187;59068;2828;99458;4514;18433;3967
32;188;59079;2828;99458;4562;18433;13274
32;189;59192;2828;99459;4478;18433;32926
32;190;59220;2828;99459;4467;18433;61931
32;191;59325;2828;99459;4467;18433;10443
32;192;59336;2828;99459;4467;18433;20132
32;193;59439;2827;99459;4242;18433;28494
32;194;59470;2827;99459;4253;18433;40700
32;195;59572;2827;99459;4275;18433;39324
32;196;59711;2827;99459;4242;18433;50220
32;197;59813;2827;99458;4189;18433;49329
32;198;59824;2827;99458;4200;18433;63587
32;199;59927;2827;99458;4189;18433;46585
32;200;59948;2827;99458;4210;18433;4787
32;201;60053;2827;99459;4189;18433;33448
32;202;60064;2827;99459;4137;18433;16285
32;203;60167;2827;99459;4179;18433;17075
32;204;60197;2827;99459;4179;18433;16673
32;205;60417;2827;99458;4179;18433;1204
32;206;60448;2827;99459;4179;18433;19844
32;207;60550;2827;99459;4189;18433;34348
32;208;60561;2827;99458;4168;18433;35580
32;209;60667;2828;99458;4179;18433;36931
32;210;60678;2828;99458;4168;18433;29315
32;211;60790;2828;99458;4158;18433;53196
32;212;60818;2828;99458;4210;18433;39510
32;213;60921;2828;99459;4137;18433;52797
32;214;61057;2828;99458;4137;18433;13802
32;215;61160;2828;99458;4147;18433;51384
32;216;61194;2828;99458;4147;18433;58125
32;217;61297;2829;99458;4147;18433;12835
32;218;61308;2829;99458;4179;18433;60947
32;219;61411;2829;99458;4168;18433;18795
32;220;61422;2829;99458;4137;18433;25405
32;221;61525;2829;99458;4116;18433;25374
32;222;61545;2829;99458;4137;18433;54218
32;223;61766;2829;99457;4106;18433;23752
32;224;61797;2829;99457;4137;18433;64562
32;225;61899;2829;99458;4096;18433;29415
32;226;61910;2829;99458;4106;18433;22873
32;227;62016;2829;99458;4106;18433;42038
32;228;62027;2829;99458;4106;18433;43617
32;229;62134;2829;99458;4106;18433;18451
32;230;62145;2829;99458;4076;18433;27902
32;231;62249;2829;99458;4116;18433;65024
32;232;62404;2828;99458;4158;18433;15131
32;233;62507;2828;99458;4221;18433;54804
32;234;62518;2828;99458;4189;18433;41551
32;235;62621;2828;99458;4200;18433;14014
32;236;62632;2828;99458;4221;18433;9279
32;237;62737;2827;99457;4200;18433;9817
32;238;62748;2827;99457;4221;18433;1113
32;239;62851;2827;99457;4200;18433;379
32;240;62862;2827;99457;4179;18433;1074
32;241;63083;2826;99457;4189;18433;51558
32;242;63114;2826;99457;4147;18433;16588
32;243;63228;2825;99457;4127;18433;23227
32;244;63256;2825;99457;4116;18433;30195
32;245;63359;2824;99457;3967;18433;23675
32;246;63370;2824;99457;3996;18433;2621
32;247;63475;2823;99456;3938;18433;28385
32;248;63506;2823;99456;3957;18433;1612
32;249;63609;2822;99456;3891;18433;22672
32;250;63745;2821;99456;3117;18433;16176
32;251;63848;2820;99456;3440;18433;42406
32;252;63859;2820;99456;3371;18433;1570
32;253;63962;2819;99457;3171;18433;29691
32;254;64005;2819;99457;3463;18433;3171
32;255;64108;2819;99457;3781;18433;22681
32;256;64137;2819;99457;3817;18433;29070
32;257;64243;2818;99458;3667;18433;35534
32;258;64254;2818;99458;3616;18433;54917
32;259;64472;2818;99458;2744;18433;13046
32;260;64483;2818;99458;2722;18433;5269
32;261;64586;2818;99459;2286;18433;9247
32;262;64597;2818;99459;2278;18433;5131
32;263;64699;2818;99459;2457;18433;7302
32;264;64730;2818;99459;2457;18433;43149
32;265;64843;2818;99458;2495;18433;63526
32;266;64872;2818;99458;2462;18433;16893
32;267;64977;2818;99458;2376;18433;64015
32;268;65123;2818;99460;2270;18433;61772
32;269;65226;2818;99459;2316;18433;46736
32;270;65237;2818;99459;2324;18433;40227
32;271;65343;2818;99459;2324;18433;36035
32;272;65354;2818;99459;2324;18433;8336
32;273;65457;2818;99458;2421;18433;41264
32;274;65468;2818;99458;2434;18433;60082
32;275;65571;2818;99458;2587;18433;12865
32;276;65582;2818;99458;2572;18433;32251
32;277;65812;2817;99458;2612;18433;52936
32;278;65823;2817;99458;2612;18433;16461
32;279;65933;2818;99459;2509;18433;19540
32;280;65944;2818;99459;2485;18433;45771
32;281;66049;2818;99459;2481;18433;7736
32;282;66060;2818;99459;2485;18433;20779
32;283;66162;2818;99459;2485;18433;27012
32;284;66173;2818;99459;2490;18433;20120
32;285;66276;2818;99458;2485;18433;29698
32;286;66413;2817;99458;2385;18433;57740
32;287;66531;2818;99457;2190;18433;52413
32;288;66559;2818;99457;2088;18433;52591
32;289;66662;2818;99457;2114;18433;40889
32;290;66673;2818;99457;2103;18433;16181
32;291;66776;2818;99457;2031;18433;52315
32;292;66808;2818;99456;2059;18433;7410
32;293;66910;2818;99455;2048;18433;47667
32;294;66921;2818;99455;2063;18433;44462
32;295;67142;2818;99455;2059;18433;1660
32;296;67153;2818;99455;2066;18433;8519
32;297;67256;2818;99454;2070;18433;30021
32;298;67296;2818;99454;2063;18433;29691
32;299;67399;2818;99454;2125;18433;43007
32;300;67410;2818;99454;2103;18433;42381
32;301;67512;2818;99454;2128;18433;63985
32;302;67543;2818;99454;2114;18433;51822
32;303;67647;2818;99453;2155;18433;42289
32;304;67792;2817;99453;2155;18433;13453
32;305;67895;2817;99453;2155;18433;18626
32;306;67906;2817;99453;2159;18433;39997
32;307;68009;2817;99452;2170;18433;21486
32;308;68039;2817;99452;2194;18433;27684
32;309;68151;2817;99452;2186;18433;45624
32;310;68181;2817;99451;2182;18433;37613
32;311;68284;2817;99451;2201;18433;33924
32;312;68295;2817;99451;2201;18433;60369
32;313;68516;2817;99450;2253;18433;50524
32;314;68527;2817;99450;2257;18433;8012
32;315;68630;2817;99450;2394;18433;5435
32;316;68641;2817;99450;2416;18433;2431
32;317;68746;2817;99450;2359;18433;12947
